Unnamed: 0.1,Unnamed: 0,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,trip_duraion,Plongitude,Platitude,Dlongitude,Dlatitude,pickup_date,st_abb,st_code,date,stability,tmin,tmax,tavg,ppt
0,0,1850612,2,2023-10-01 00:00:00,2023-10-01 00:13:01,1.0,3.47,1.0,N,164,262,1,17.0,1.0,0.5,5.5,0.0,1.0,27.5,2.5,0.0,13.016666666666667,-73.98362519999995,40.7439431149999,-73.94588094499986,40.78165816599989,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
1,1,1899716,2,2023-10-01 00:00:00,2023-10-01 00:06:50,4.0,1.36,1.0,N,141,163,1,8.6,1.0,0.5,1.0,0.0,1.0,14.6,2.5,0.0,6.833333333333333,-73.95786874099996,40.765242324999896,-73.97025814699983,40.76228875299991,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
2,2,1615889,1,2023-10-01 00:00:01,2023-10-01 00:17:52,1.0,3.0,1.0,N,170,231,1,18.4,3.5,0.5,4.65,0.0,1.0,28.05,2.5,0.0,17.85,-73.98272387399996,40.75095894399991,-73.999956209,40.71801709499989,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
3,3,1602363,2,2023-10-01 00:00:01,2023-10-01 00:23:41,3.0,3.66,1.0,N,262,262,1,23.3,1.0,0.5,7.08,0.0,1.0,35.38,2.5,0.0,23.666666666666668,-73.94642443299978,40.78091753399991,-73.946197187,40.78122601799986,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
4,4,2110464,2,2023-10-01 00:00:02,2023-10-01 00:06:29,1.0,1.3,1.0,N,144,87,1,8.6,1.0,0.5,2.0,0.0,1.0,15.6,2.5,0.0,6.45,-73.99379527399988,40.72093644299991,-74.00999520599994,40.70533123899991,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
5,5,834781,2,2023-10-01 00:00:02,2023-10-01 00:16:41,1.0,3.95,1.0,N,186,263,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0,16.65,-73.99096832799995,40.74542088999988,-73.9554072979999,40.776868479999926,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
6,6,2933399,2,2023-10-01 00:00:02,2023-10-01 00:34:54,1.0,6.23,1.0,N,148,239,1,36.6,1.0,0.5,8.32,0.0,1.0,49.92,2.5,0.0,34.86666666666667,-73.99542875899999,40.717279242999936,-73.980673654,40.77992518199992,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
7,7,1551555,1,2023-10-01 00:00:03,2023-10-01 00:16:46,1.0,2.9,1.0,N,43,68,3,16.3,3.5,0.5,0.0,0.0,1.0,21.3,2.5,0.0,16.716666666666665,-73.97072777399985,40.76739372199989,-74.002431475,40.7500727519999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
8,8,1851115,2,2023-10-01 00:00:04,2023-10-01 00:06:29,5.0,0.86,1.0,N,246,68,1,7.9,1.0,0.5,3.87,0.0,1.0,16.77,2.5,0.0,6.416666666666667,-74.01183642872407,40.74512596367872,-73.99897237399988,40.74463005499994,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
9,9,822407,2,2023-10-01 00:00:05,2023-10-01 00:27:23,3.0,3.63,1.0,N,114,161,1,24.7,1.0,0.5,5.94,0.0,1.0,35.64,2.5,0.0,27.3,-73.99606314799985,40.73015526099991,-73.98134107099996,40.75864529799986,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
10,10,554543,2,2023-10-01 00:00:05,2023-10-01 00:17:39,1.0,1.92,1.0,N,249,234,1,17.0,1.0,0.5,1.0,0.0,1.0,23.0,2.5,0.0,17.566666666666666,-73.99780443099984,40.73603215799991,-73.9907539679999,40.73483915499988,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
11,11,423304,2,2023-10-01 00:00:05,2023-10-01 00:13:23,2.0,1.71,1.0,N,148,249,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0,13.3,-73.99605872699998,40.7162316399999,-74.0016846549999,40.73058156199995,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
12,12,2294900,2,2023-10-01 00:00:06,2023-10-01 00:22:09,1.0,3.16,1.0,N,249,237,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0,22.05,-74.0056870449999,40.73755187899992,-73.9611017069999,40.7690593189999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
13,13,586947,1,2023-10-01 00:00:07,2023-10-01 00:11:23,1.0,1.7,1.0,N,79,162,2,10.7,3.5,0.5,0.0,0.0,1.0,15.7,2.5,0.0,11.266666666666667,-73.99050558599988,40.73056495699996,-73.97754284999984,40.7520635559999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
14,14,1895461,2,2023-10-01 00:00:07,2023-10-01 00:17:35,1.0,1.91,1.0,N,107,186,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0,17.466666666666665,-73.98542767799994,40.74147034899988,-73.99006749199991,40.746659282999936,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
